sku,product,was,now,saving,percent,product_url,description,image_url,image_file
14360,Puzzle Tin - Cocomelon,£5.00,£2.50,£2.50,50%,https://stevegiergiel.vivamknetwork.co.uk/puzzle-tin-cocomelon.html,"This 48-piece vibrant wooden jigsaw features JJ and friends, great for little people who are developing fine motor skills and problem-solving abilities. Packaged in a metal tin. Finished puzzle size: L20 x W16cm. Suitable for ages 3+.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/a/c/ac405035-7112-443b-bbf6-849301df564a.jpeg,christmas_booklet_output\cache\14360.jpeg
90284,Santa Jigsaw - 1000 Piece,£15.00,£7.50,£7.50,50%,https://stevegiergiel.vivamknetwork.co.uk/1000-piece-santa-jigsaw.html,Festive Santa Claus putting gifts under the tree jigsaw puzzle. Original Richard Macneil art. Not suitable for children under 3 years,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90284.jpg,christmas_booklet_output\cache\90284.jpg
90347,Mini Traditional Santa Cards,£2.50,£1.00,£1.50,60%,https://stevegiergiel.vivamknetwork.co.uk/mini-traditional-santa-cards.html,16 cards in 4 designs. Envelopes included. Size: H9 x W7.5cm,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90347.jpg,christmas_booklet_output\cache\90347.jpg
90359,Santa & Reindeer Footprint Stencils,£3.00,£1.00,£2.00,67%,https://stevegiergiel.vivamknetwork.co.uk/santa-reindeer-footprint-stencils.html,Create a magical feel in your home this Christmas with the Santa & Reindeer Footprint Stencils. Simply use white snow spray over the stencil to create footprints in your home and garden. Each stencil: H30 x W15cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90359.jpg,christmas_booklet_output\cache\90359.jpg
90365,Santa CAM Bauble,£7.50,£3.75,£3.75,50%,https://stevegiergiel.vivamknetwork.co.uk/santa-cam-bauble.html,Santa is watching you! 8cm shatterproof red glitter Santa Cam bauble with lens - this is for show only. Size: H8 x W8cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90365.jpg,christmas_booklet_output\cache\90365.jpg
90380,9ft Snow Tipped Garland,£17.00,£8.50,£8.50,50%,https://stevegiergiel.vivamknetwork.co.uk/9ft-snow-tipped-garland.html,"Our two garlands, both with 240 tips, are great for adding décor to staircases, mantlepieces, windows and much more. Made from PVC. Fairy lights not included. Size of each garland is: L275 x W25cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90380.jpg,christmas_booklet_output\cache\90380.jpg
90449,Kid's Novelty Socks,£4.00,£1.50,£2.50,63%,https://stevegiergiel.vivamknetwork.co.uk/kid-s-novelty-socks.html,"Christmas wouldn’t be Christmas without novelty socks! We have something for all of the family. Mid-length. 75% Cotton, 23% Polyamide, 2% Elastane. Sizes: Pudding, children’s size, UK 8 ½ - 12. Unicorn, adult size UK 2 - 9.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90449.jpg,christmas_booklet_output\cache\90449.jpg
90457,Magic Snow with Shovel,£3.50,£1.50,£2.00,57%,https://stevegiergiel.vivamknetwork.co.uk/magic-snow-with-shovel.html,"Do you want to build a snowman? Now you can! Mix the snow powder with water and have fun. Suitable for age 6+ years, adult supervision required.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90457.jpg,christmas_booklet_output\cache\90457.jpg
90466,48 LED Blossom Tree - Warm White,£25.00,£12.50,£12.50,50%,https://stevegiergiel.vivamknetwork.co.uk/48-led-blossom-tree-warm-white.html,"This stylish LED blossom tree, available in two colours, will brighten up any indoor space instantly! Standing at 45cm tall and with 48 LED lights is it sure to create a warm atmosphere wherever it is placed. Mains powered. Size: H45 x W46cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90466_1.jpg,christmas_booklet_output\cache\90466.jpg
90472,Eco Tape,£3.50,£1.75,£1.75,50%,https://stevegiergiel.vivamknetwork.co.uk/eco-tape.html,Be kind to the planet this Christmas with this eco-solution to wrap up your gifts! Made from kraft paper with 'Merry Christmas' script and a holy graphic. L25m x W2cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90472.jpg,christmas_booklet_output\cache\90472.jpg
90478,Luxury Tags 16pk - Cute,£3.00,£1.50,£1.50,50%,https://stevegiergiel.vivamknetwork.co.uk/20-luxury-cute-gift-tags.html,"16 Luxury Gift Tags in 4 assorted designs, 4 of each design. Available in Cute, Traditional or Contemporary. Each comes with a complementary coloured string. Plastic-free packaging. Size of each: H11 x W6cm. Gold foil finish.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90478.jpg,christmas_booklet_output\cache\90478.jpg
90485,Scented Hanging Sticks 6 Festive Berry,£7.00,£3.50,£3.50,50%,https://stevegiergiel.vivamknetwork.co.uk/6-festive-berry-scented-hanging-sticks.html,"Bring your artificial Christmas tree to life with these scented Fragranstix, available in Cinnamon or Festive Berry. Simply hang a few of these scented sticks evenly on branches around your tree and enjoy the scent of Christmas all season long. Length of each stick: 16cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90378_1.jpg,christmas_booklet_output\cache\90485.jpg
90491,Wreath Mistletoe,£9.00,£4.00,£5.00,56%,https://stevegiergiel.vivamknetwork.co.uk/mistletoe-wreath.html,This small but stylish faux mistletoe wreath would look beautiful on any door this festive season. Size: H23 x W30cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90491.jpg,christmas_booklet_output\cache\90491.jpg
90509,Reversible Table Runner,£20.00,£10.00,£10.00,50%,https://stevegiergiel.vivamknetwork.co.uk/reversible-table-runner.html,No Christmas dinner would be complete without a suitably festive table runner. This table runner features a reversible Christmas joy print to one side and solid red with embroidery detail to the other side. 100% cotton. Machine washable. L230 x W35cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90509.jpg,christmas_booklet_output\cache\90509.jpg
90608,Plush Photo Stocking,£6.50,£2.50,£4.00,62%,https://stevegiergiel.vivamknetwork.co.uk/plush-photo-stocking.html,"Add a personal touch this Christmas with this photo stocking. The photo pocket will fit a standard 4 x 6"" photo, making this traditionally designed stocking a little more contemporary. Plush. H42 x W30cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90608.jpg,christmas_booklet_output\cache\90608.jpg
90661,Decoir Mat - Gingerbread House,£15.00,£7.50,£7.50,50%,https://stevegiergiel.vivamknetwork.co.uk/decoir-mat-gingerbread-house.html,"These handcrafted decoir mats, available in Festive Robins or Gingerbread House, are made from durable natural coir that removes mud and dirt from shoes and boots. They’re easy to clean too, simply brush when dry! Slip-resistant PVC backing. Suitable for indoor or outdoor use. L40 x W60cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90661.jpg,christmas_booklet_output\cache\90661.jpg
90662,Hanging Gonk - Christmas Tree,£12.00,£6.00,£6.00,50%,https://stevegiergiel.vivamknetwork.co.uk/hanging-gonk-christmas-tree.html,"These hanging characters, available in Christmas tree gonk or festive bear, have weighted hands to help them cling to shelves, windowsills, bookcases and mantlepieces. They add a touch of whimsical charm to any home this season. Christmas gonk: L48 x W18 x D7cm. Festive bear: L40 x W22 x D8cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90662.jpg,christmas_booklet_output\cache\90662.jpg
90665,Hanging Light Up Gonk,£8.00,£4.00,£4.00,50%,https://stevegiergiel.vivamknetwork.co.uk/hanging-light-up-gonk.html,"Fall in love with this charming Hanging Light Up Gonk. Auto timer, 4 hours on & 20 hours off. Requires 3 x LR44 batteries (included). Polyester. Size: L17 x W10cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90665.jpg,christmas_booklet_output\cache\90665.jpg
90681,Inlit Santa,£19.00,£9.50,£9.50,50%,https://stevegiergiel.vivamknetwork.co.uk/inlit-santa.html,"This cheerful Santa, holding a glowing green wreath, is the perfect Christmas decoration for any home. He has the traditional red clothing and hat with rosy, red cheeks. Hand-painted. 5 LEDs. Requires 2 x AAA batteries (not included). Resin. Size: H25 x W12.5 x D12cm. AAA batteries available in packs of 10 on code 13459 for only £3 / €3.60.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90681.jpg,christmas_booklet_output\cache\90681.jpg
90683,Gold Robin - King,£8.00,£4.00,£4.00,50%,https://stevegiergiel.vivamknetwork.co.uk/gold-robin-king.html,"The most regal pair you did ever see! These Robins, available as King or Queen (sold individually), , offer a majestic and festive accent that embodies the spirit of the season. Whether gracing a tabletop, mantelpiece or serving as a focal point in a joyous display, they are a symbol of elegance & joy that enhances the magic & beauty of Christmas. Resin. Each bird comes boxed. Approx. size of each: H14 x W5.5 x D9cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90683.jpg,christmas_booklet_output\cache\90683.jpg
90692,Santa Shaped Oil Burner,£12.00,£6.00,£6.00,50%,https://stevegiergiel.vivamknetwork.co.uk/santa-shaped-oil-burner.html,"This Santa Shaped Oil Burner is a cheerful little character featuring the traditional red suit, big white beard, and a brown present sack. Simply fill the dish with water, add your favourite oil and place a lit tealight underneath. Ceramic. Comes boxed. Approx. size: H10.5 x Diam. 10cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90692.jpg,christmas_booklet_output\cache\90692.jpg
90705,Christmas Eve Elf Bag,£3.00,£1.50,£1.50,50%,https://stevegiergiel.vivamknetwork.co.uk/christmas-eve-elf-bag.html,"The bag is the perfect size for filling with little treats such as chocolate, pyjamas, and reindeer food on Christmas Eve. It features a full colour printed elf design with a gold lace draw string. Use & reuse year after year. Polyester. H55 x W37cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90705.jpg,christmas_booklet_output\cache\90705.jpg
