sku,product,pdf_listed,live_found,usable_image,status,pdf_was,pdf_now,live_was,live_now,product_url
14360,Puzzle Tin - Cocomelon,YES,YES,YES,IN_BOTH_USABLE,£5.00,£2.50,£5.00,£2.50,https://stevegiergiel.vivamknetwork.co.uk/puzzle-tin-cocomelon.html
60050,Drinking Bottle - Elf,NO,YES,YES,LIVE_ONLY,,,£7.50,£4.50,https://stevegiergiel.vivamknetwork.co.uk/personalised-elf-bottle-500ml.html
60051,Drinking Bottle - Santa,NO,YES,YES,LIVE_ONLY,,,£7.50,£4.50,https://stevegiergiel.vivamknetwork.co.uk/personalised-santa-bottle-500ml.html
60182,Gonk Advent Calendar,NO,YES,YES,LIVE_ONLY,,,£10.00,£7.00,https://stevegiergiel.vivamknetwork.co.uk/gonk-advent-calendar.html
60187,Santa Please Stop Here Plaque,NO,YES,YES,LIVE_ONLY,,,£11.00,£6.00,https://stevegiergiel.vivamknetwork.co.uk/santa-please-stop-here-plaque.html
60221,Personalised Hanging Reindeer Head,NO,YES,YES,LIVE_ONLY,,,£12.50,£6.50,https://stevegiergiel.vivamknetwork.co.uk/hanging-reindeer-head.html
60222,LED Reindeer Head,NO,YES,YES,LIVE_ONLY,,,£13.00,£7.00,https://stevegiergiel.vivamknetwork.co.uk/led-reindeer-head.html
60226,Silver Gonk With Sequin Hat,NO,YES,YES,LIVE_ONLY,,,£10.50,£7.50,https://stevegiergiel.vivamknetwork.co.uk/silver-gonk-with-sequin-hat.html
60282,Harry Potter Light Up Jar - Hogwarts Express,NO,YES,YES,LIVE_ONLY,,,£16.00,£9.50,https://stevegiergiel.vivamknetwork.co.uk/harry-potter-light-up-jar-hogwarts-express.html
60330,Gonk Trio Led Candlelight,NO,YES,YES,LIVE_ONLY,,,£28.00,£20.00,https://stevegiergiel.vivamknetwork.co.uk/gonk-trio-led-candlelight.html
60336,Personalised Nativity Scene,NO,YES,YES,LIVE_ONLY,,,£26.00,£16.00,https://stevegiergiel.vivamknetwork.co.uk/personalised-nativity-scene.html
60345,Gonk Lidded Mug,NO,YES,YES,LIVE_ONLY,,,£16.00,£10.00,https://stevegiergiel.vivamknetwork.co.uk/gonk-lidded-mug.html
60348,Xmas Red LED Lantern,NO,YES,YES,LIVE_ONLY,,,£14.00,£9.00,https://stevegiergiel.vivamknetwork.co.uk/xmas-red-led-lantern.html
60349,Paw Patrol Santa Stop Here,NO,YES,YES,LIVE_ONLY,,,£10.00,£6.00,https://stevegiergiel.vivamknetwork.co.uk/paw-patrol-santa-stop-here.html
