sku,product,was,now,saving,percent,product_url,description,image_url,image_file,qr_file,availability,stock_status,sold_out_since
14337,2 in 1 Travel Pillow & Plush Toy - Unicorn,£19.00,£14.00,£5.00,26%,https://stevegiergiel.vivamknetwork.co.uk/2-in-1-travel-pillow-plush-toy-unicorn.html,"This innovative 2-in-1 plush companion seamlessly transforms from a cuddly unicorn toy into a supportive horseshoe-shaped travel pillow, ensuring comfort and joy accompany you wherever you go. Whether you're a frequent traveller, a parent seeking comfort for your child, or someone who loves adorable plush toys, the Swapseazzz Unicorn caters to all. 95% polyester. 5% spandex. The plush measures H34 x W26 x D18cm and transforms into a L32 x W30 x D10cm neck pillow.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14337.jpg,output\mega_sale\cache\images\14337.jpg,output\mega_sale\cache\images\14337_qr.png,,active,
11250,20 warm white LED Rose Lights,£10.00,£7.00,£3.00,30%,https://stevegiergiel.vivamknetwork.co.uk/20-warm-white-led-rose-lights.html,"A gorgeous set of warm white LED acrylic rose string lights, which can be hung in any room of the house to catch the eye of everyone who sees them. 20 roses. Requires 2 x AA batteries (not included). 40cm lead wire. 10cm spacing between each light. Timer function, 6 hours on, 18 hours off.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/1/11250_2.jpg,output\mega_sale\cache\images\11250.jpg,output\mega_sale\cache\images\11250_qr.png,,active,
13429,2in1 Travel Pillow & Eye Mask - Clownfish,£15.00,£12.00,£3.00,20%,https://stevegiergiel.vivamknetwork.co.uk/2in1-travel-pillow-eye-mask-clownfish.html,"Introducing the handy 2-in-1 travel pillow, available in three playful designs, Penguin, Shark & Clownfish. It’s a travel pillow and eye mask in one, that conveniently zips up and hooks onto a belt or bag so you can always keep it safe. Quick-release eye mask. Designed to fit children & adults. Made from super soft polyester & spandex. Machine washable. Size when closed: H17 x W18 x D11cm. Size when open: H16 x W28 x D6cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13429.jpg,output\mega_sale\cache\images\13429.jpg,output\mega_sale\cache\images\13429_qr.png,,active,
13430,2in1 Travel Pillow & Eye Mask - Shark,£15.00,£12.00,£3.00,20%,https://stevegiergiel.vivamknetwork.co.uk/2in1-travel-pillow-eye-mask-shark.html,"Introducing the handy 2-in-1 travel pillow, available in three playful designs, Penguin, Shark & Clownfish. It’s a travel pillow and eye mask in one, that conveniently zips up and hooks onto a belt or bag so you can always keep it safe. Quick-release eye mask. Designed to fit children & adults. Made from super soft polyester & spandex. Machine washable. Size when closed: H17 x W18 x D11cm. Size when open: H16 x W28 x D6cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13430.jpg,output\mega_sale\cache\images\13430.jpg,output\mega_sale\cache\images\13430_qr.png,,active,
70243,Baked Blush - Goddess,£7.00,£5.00,£2.00,29%,https://stevegiergiel.vivamknetwork.co.uk/baked-blush-goddess.html,"These 3 unique Blushers & Bronzer make an outstanding collection to deliver healthy skin glow. BLUSHER, BRONZER OR HIGHLIGHTER - these Boxes have stunning pigmentation with a veil of subtle shimmer. Baked Box products come in a shape of 3D dome & flip lid box includes a large mirror to make the application easy. 4.4g.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/7/0/70243.jpg,output\mega_sale\cache\images\70243.jpg,output\mega_sale\cache\images\70243_qr.png,,active,
14338,Beach Bag - Capybara,£10.00,£8.00,£2.00,20%,https://stevegiergiel.vivamknetwork.co.uk/beach-bag-capybara.html,"Pack your suncream, shades & beach towel ready for a day by the pool or sea. It’s the perfect beach accessory, featuring an adorable capybara. Polyester. H35 x W47 x D13cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14338.jpg,output\mega_sale\cache\images\14338.jpg,output\mega_sale\cache\images\14338_qr.png,,active,
14080,Betty - King Size,£18.00,£15.00,£3.00,17%,https://stevegiergiel.vivamknetwork.co.uk/betty-king-size.html,"Bring retro vibes to your bedroom with this funky all over printed floral bedding. This bold, vibrant printed pattern with its reversible polka print is the perfect statement piece to any bedroom. Fully reversible. Single includes 1 pillowcase, double and king size include 2 pillowcases. Popper fastening. 100% polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14080.jpg,output\mega_sale\cache\images\14080.jpg,output\mega_sale\cache\images\14080_qr.png,,active,
14078,Betty - Single,£12.00,£10.00,£2.00,17%,https://stevegiergiel.vivamknetwork.co.uk/betty-single.html,"Bring retro vibes to your bedroom with this funky all over printed floral bedding. This bold, vibrant printed pattern with its reversible polka print is the perfect statement piece to any bedroom. Single includes 1 pillowcase, double and king size include 2 pillowcases. Popper fastening. 100% polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14078.jpg,output\mega_sale\cache\images\14078.jpg,output\mega_sale\cache\images\14078_qr.png,,active,
12142,Bike Cleaner,£9.00,£5.50,£3.50,39%,https://stevegiergiel.vivamknetwork.co.uk/bike-cleaner.html,"Penetrates stubborn mud, oil, grime & dust build up on your bicycle frame. Easy to use. Orange scented. Vegan friendly. 1l. (£0.90 / €1.10 per 100ml).",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/2/12142.jpg,output\mega_sale\cache\images\12142.jpg,output\mega_sale\cache\images\12142_qr.png,,active,
13723,Birds on a Branch,£10.00,£7.50,£2.50,25%,https://stevegiergiel.vivamknetwork.co.uk/birds-on-a-branch.html,Bring the woodlands into your home with this charming ornament. Features two gorgeous birds perched upon a branch. Resin. Comes boxed. H10 x W13.5 x D8cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13723.jpg,output\mega_sale\cache\images\13723.jpg,output\mega_sale\cache\images\13723_qr.png,,active,
