sku,product,was,now,saving,percent,product_url,description,image_url,image_file,qr_file,availability,stock_status,sold_out_since
60398,Ballpoint Pen - Blue Cloud,£25.00,£18.00,£7.00,28%,https://stevegiergiel.vivamknetwork.co.uk/ballpoint-pen-blue-cloud.html,"A beautiful pen, offering understated style and elegance and is presented in a high-quality cushioned gift box. Metal alloy. Black ink. L14 x W1.5 x D1.2cm. Engrave up to 15 characters.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60398.jpg,output\personalised\cache\images\60398.jpg,output\personalised\cache\images\60398_qr.png,,active,
60399,Ballpoint Pen - Red Etched Design,£25.00,£18.00,£7.00,28%,https://stevegiergiel.vivamknetwork.co.uk/ballpoint-pen-red-etched-design.html,"A beautiful pen, offering understated style and elegance and is presented in a high-quality cushioned gift box. Metal alloy. Black ink. L14 x W1.5 x D1.2cm. Engrave up to 15 characters.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60399.jpg,output\personalised\cache\images\60399.jpg,output\personalised\cache\images\60399_qr.png,,active,
60290,Blossom Happy Birthday Mug,£10.00,£6.00,£4.00,40%,https://stevegiergiel.vivamknetwork.co.uk/blossom-happy-birthday-mug.html,"Make a birthday celebration extra special with this delightful mug showcasing a playful design of balloons and sparklers. Fine China. Gift boxed. Hand wash. Not suitable for microwave. 300ml. H9 x W11.5 x D8cm. Personalise in purple holographic vinyl, up to 15 characters. ‘Happy Birthday’ and design is fixed.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60290.jpg,output\personalised\cache\images\60290.jpg,output\personalised\cache\images\60290_qr.png,,active,
60458,Captured With Love Robin Earrings,£12.00,£9.00,£3.00,25%,https://stevegiergiel.vivamknetwork.co.uk/captured-with-love-robin-earrings.html,"Intricately crafted and elegantly presented in a glass capsule with a cork stopper - a thoughtful touch that makes them a unique keepsake. For pierced ears. Plated with real silver. Earring size: L0.8 x W0.5cm. Capsule: L7.5cm. Personalise reverse of glass capsule in black vinyl, up to 15 characters.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60458.jpg,output\personalised\cache\images\60458.jpg,output\personalised\cache\images\60458_qr.png,,active,
60218,Celestial Photo Frame,£17.00,£8.00,£9.00,53%,https://stevegiergiel.vivamknetwork.co.uk/celestial-photo-frame.html,"Take inspiration from the stars with this gorgeous Celestial photo frame. The wooden, strutted frame showcases an attractive blue and gold colouring, complete with star decoration and gold border around the portrait aperture. It is finished with a hanging beaded decoration which features a gold moon, matching tassel and gold star. Portrait aperture 3.5 x 5” (9 x 12.5cm). MDF. Size: H18.5 x W20 x D2cm. Engrave up to 2 lines with a maximum of 15 characters per line.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60218_1.jpg,output\personalised\cache\images\60218.jpg,output\personalised\cache\images\60218_qr.png,,active,
60083,Cheese Slate Set,£16.00,£12.00,£4.00,25%,https://stevegiergiel.vivamknetwork.co.uk/cheese-slate-set.html,"Present your cheese selection on this beautiful slate tray. Complete with three wood-handled cheese knives. Great gift for all occasions. Hand wash. Size: L30 x W17 x D4cm. As this product is made from natural slate, each product will vary in texture. Available in 3 designs. DESIGN 1: Engrave up to 3 lines. Line 1 & 3: max. 30 characters. Line 2: max. 15 characters. Image is fixed. DESIGN 2: Engrave up to 2 lines. Line 1: max. 30 characters. Line 2: max. 45 characters. DESIGN 3: Engrave up to 2 lines. Line 1: max. 35 characters. Line 2: max. 20 characters. Lines at the edge of line 2 are fixed.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/_/1_5.jpg,output\personalised\cache\images\60083.jpg,output\personalised\cache\images\60083_qr.png,,active,
60269,Compact Mirror - Silver,£12.00,£9.00,£3.00,25%,https://stevegiergiel.vivamknetwork.co.uk/compact-mirror-silver.html,"These compact mirrors feature a secure round push-to-open clasp and contains two mirrors, one 2x magnified and one normal. Stainless Steel. Comes gift boxed. Diam. 7cm. Available in rose gold or silver colour, in two designs. Engrave up to 15 characters. Flower design is fixed in design 1.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/3/_/3_3.png,output\personalised\cache\images\60269.jpg,output\personalised\cache\images\60269_qr.png,,active,
60278,Cute Owl Pencil Tin,£5.50,£3.00,£2.50,45%,https://stevegiergiel.vivamknetwork.co.uk/cute-owl-pencil-tin.html,"Embrace creativity and organisation in style with our delightfully captivating cylindrical pencil tins, available in two charming designs. Crafted from durable yet lightweight tin, they are the perfect storage solution for pencils, crayons, and other essential stationery items. H18 x W8 x D8cm. Engrave up to 15 characters.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60278.jpg,output\personalised\cache\images\60278.jpg,output\personalised\cache\images\60278_qr.png,,active,
60365,Dog Bone Wall Rack,£19.00,£14.00,£5.00,26%,https://stevegiergiel.vivamknetwork.co.uk/dog-bone-wall-rack.html,"Unleash the love, with a persoanlised lead & accessory holder. Organise your pet’s leads, collars, coats and harnesses on this stylish and creatively shaped Dog Bone Wall Rack. It’s generous in size, measuring 30cm in length, and crafted from durable, high-quality acacia & rubberwood. Self-assembly required. Wall fixings not included. Size: L30 x W15cm. Please note that due to the inherent variations in wood, the appearance of the personalisation may differ in depth, tone, and colour. Engrave up to 2 lines, a maximum of 20 characters for line 1 and 35 for line 2.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60365.jpg,output\personalised\cache\images\60365.jpg,output\personalised\cache\images\60365_qr.png,,active,
60323,Drawstring Bag - Harry Potter,£7.50,£5.50,£2.00,27%,https://stevegiergiel.vivamknetwork.co.uk/draw-string-bag-harry-potter.html,"These vibrant drawstring bags, decorated with your favourite characters, are ideal for storing PE clothes, shoes, school books, and more. They are equipped with a sturdy pull string closure, for easy access. Same design front and reverse. Wipe clean. 100% polyester. Size: H42.5 x 32.5cm (approx). Age 3+. Personalise on one side, in white vinyl, maximum 15 characters. Only CAPITAL letters on the Spider-Man design.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60323.jpg,output\personalised\cache\images\60323.jpg,output\personalised\cache\images\60323_qr.png,,active,
60321,Drawstring Bag - Paw Patrol Heroes,£7.50,£5.50,£2.00,27%,https://stevegiergiel.vivamknetwork.co.uk/draw-string-bag-paw-patrol-heroes.html,"These vibrant drawstring bags, decorated with your favourite characters, are ideal for storing PE clothes, shoes, school books, and more. They are equipped with a sturdy pull string closure, for easy access. Same design front and reverse. Wipe clean. 100% polyester. Size: H42.5 x 32.5cm (approx). Age 3+. Personalise on one side, in white vinyl, maximum 15 characters. Only CAPITAL letters on the Spider-Man design.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60321.jpg,output\personalised\cache\images\60321.jpg,output\personalised\cache\images\60321_qr.png,,active,
60322,Drawstring Bag - Peppa Pig,£7.50,£5.50,£2.00,27%,https://stevegiergiel.vivamknetwork.co.uk/draw-string-bag-peppa-pig.html,"These vibrant drawstring bags, decorated with your favourite characters, are ideal for storing PE clothes, shoes, school books, and more. They are equipped with a sturdy pull string closure, for easy access. Same design front and reverse. Wipe clean. 100% polyester. Size: H42.5 x 32.5cm (approx). Age 3+. Personalise on one side, in white vinyl, maximum 15 characters. Only CAPITAL letters on the Spider-Man design.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/6/0/60322.jpg,output\personalised\cache\images\60322.jpg,output\personalised\cache\images\60322_qr.png,,active,
60050,Drinking Bottle - Elf,£7.50,£4.50,£3.00,40%,https://stevegiergiel.vivamknetwork.co.uk/personalised-elf-bottle-500ml.html,Novelty drinks bottle with a child-friendly flexi straw. 500ml. Plastic. Size: H30cm. Personalise with a name up to 15 characters in gold vinyl.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/i/m/img_3225_1.jpeg,output\personalised\cache\images\60050.jpg,output\personalised\cache\images\60050_qr.png,,active,
