sku,product,was,now,saving,percent,product_url,description,image_url,image_file,qr_file,availability
14492,3 in 1 Grooming Kit,£8.50,£6.38,£2.12,25%,https://stevegiergiel.vivamknetwork.co.uk/3-in-1-grooming-kit.html,"Whether you have a cat or dog, long hair or short, this 3-in-1 grooming set offers everything you need for a clean, healthy, and happy pet - all in one convenient package. Includes: 1 x Double sided pin & bristle brush (L: 23cm), 1 x Flea Comb (L: 18cm) and 1 x Slicker brush (L: 17cm). Metal & plastic.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14492.jpg,output\pets\cache\images\14492.jpg,output\pets\cache\images\14492_qr.png,
14432,Birthday Cake Pet Toy,£6.50,£4.88,£1.62,25%,https://stevegiergiel.vivamknetwork.co.uk/birthday-cake-pet-toy.html,Celebrate a furry friend’s special day in style with this adorable plush Birthday Cake Toy. Features a soft candle topper for festive flair. It’s the ultimate treat (minus the calories). Crinkles & squeaks. Polyester. H20 x W15cm. Colour may vary.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14432.jpg,output\pets\cache\images\14432.jpg,output\pets\cache\images\14432_qr.png,
14433,Birthday Plush Present Dog Toy,£7.50,£5.63,£1.87,25%,https://stevegiergiel.vivamknetwork.co.uk/birthday-plush-present-dog-toy.html,Make playtime extra special with this plush Birthday Present Dog Toy. Features a hidden squeaky toy inside - doubling the excitement and extending the fun. Crinkles & squeaks. Polyester & vinyl. H20 x W20 x D10cm. Colour & design may vary.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14433.jpg,output\pets\cache\images\14433.jpg,output\pets\cache\images\14433_qr.png,
14517,Black Pawkid Pawfume by Tom Pawed - 100ml,£12.50,£9.38,£3.12,25%,https://stevegiergiel.vivamknetwork.co.uk/black-pawkid-pawfume-by-tom-pawed-100ml.html,"Inspired by the timeless elegance of fine perfumery, this luxurious blend contains calming chamomile extracts to soothe and refresh - leaving your furry companion smelling effortlessly divine. 100ml. BLACK PAWKID: Intriguing fusion of black truffle & ylang ylang harmonises beautifully with fresh bergamot. UNISEX. Available in 5 designer inspired scents.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14517.png,output\pets\cache\images\14517.jpg,output\pets\cache\images\14517_qr.png,
14439,Chasing Laser Pointer Cat Toy,£3.50,£2.63,£0.87,25%,https://stevegiergiel.vivamknetwork.co.uk/chasing-laster-pointer-cat-toy.html,Keep your cat moving and entertained with this interactive laser chaser toy! It’s the perfect way to spark their playful instincts and keep them active for hours. Encourages exercise. Aluminium. Requires 3 x button batteries (included). L7.5cm (excluding key chain).,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14439.jpg,output\pets\cache\images\14439.jpg,output\pets\cache\images\14439_qr.png,
14436,Dog Bone & Ball Squeaky Toy,£4.00,£3.00,£1.00,25%,https://stevegiergiel.vivamknetwork.co.uk/dog-bone-ball-squeaky-toy.html,"Built with internal squeakers, they're perfect for all types of play and exercise. Keeping your pup active, entertained, and tail wagging happy! Made from durable PVC. Includes 1 x bone and 1 x ball. Ball: Diam. 8cm. Bone: L16 x W7 x D3cm. Colour may vary.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14436.jpg,output\pets\cache\images\14436.jpg,output\pets\cache\images\14436_qr.png,
14498,Dog Print Harness,£6.50,£4.88,£1.62,25%,https://stevegiergiel.vivamknetwork.co.uk/dog-print-harness.html,"Turn every walk into a fashion moment with our adorable collection. Featuring a playful dog print that’s as cute as your pup! This coordinated collection includes a comfy harness, sturdy lead, collar, and handy waste bag dispenser - all designed for style, safety, and everyday ease. Whether you're heading to the park or strutting through the neighbourhood, your dog will look paw-sitively perfect! Material: polyester. Collar: adjustable 30 - 50cm, lead: L120cm, waste bag dispenser: L8.5 x W6cm (waste bags available on code 14495), harness: adjustable waist & chest straps, 45 - 60cm around stomach.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14498.jpg,output\pets\cache\images\14498.jpg,output\pets\cache\images\14498_qr.png,
14499,Dog Print Lead,£4.00,£3.00,£1.00,25%,https://stevegiergiel.vivamknetwork.co.uk/dog-print-lead.html,"Turn every walk into a fashion moment with our adorable collection. Featuring a playful dog print that’s as cute as your pup! This coordinated collection includes a comfy harness, sturdy lead, collar, and handy waste bag dispenser - all designed for style, safety, and everyday ease. Whether you're heading to the park or strutting through the neighbourhood, your dog will look paw-sitively perfect! Material: polyester. Collar: adjustable 30 - 50cm, lead: L120cm, waste bag dispenser: L8.5 x W6cm (waste bags available on code 14495), harness: adjustable waist & chest straps, 45 - 60cm around stomach.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14499.jpg,output\pets\cache\images\14499.jpg,output\pets\cache\images\14499_qr.png,
14496,Dog Print Poop Bag Dispenser,£4.00,£3.00,£1.00,25%,https://stevegiergiel.vivamknetwork.co.uk/dog-print-poop-bag-dispenser.html,"Turn every walk into a fashion moment with our adorable collection. Featuring a playful dog print that’s as cute as your pup! This coordinated collection includes a comfy harness, sturdy lead, collar, and handy waste bag dispenser - all designed for style, safety, and everyday ease. Whether you're heading to the park or strutting through the neighbourhood, your dog will look paw-sitively perfect! Material: polyester. Collar: adjustable 30 - 50cm, lead: L120cm, waste bag dispenser: L8.5 x W6cm (waste bags available on code 14495), harness: adjustable waist & chest straps, 45 - 60cm around stomach.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14496.jpg,output\pets\cache\images\14496.jpg,output\pets\cache\images\14496_qr.png,
14493,Hi Visibility Pet Safety Flasher,£3.00,£2.25,£0.75,25%,https://stevegiergiel.vivamknetwork.co.uk/hi-visibility-pet-safety-flasher.html,Keep your pets safe and visible with this high visibility pet safety flasher. Easily clips onto any collar and features two bright LEDs. Water-resistant for all-weather use. Requires 2 LR44 batteries (included). Plastic & metal. L5 x W3cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14493.jpg,output\pets\cache\images\14493.jpg,output\pets\cache\images\14493_qr.png,
