sku,product,was,now,saving,percent,product_url,description,image_url,image_file,qr_file,availability,stock_status,sold_out_since
14680,Adults LED Beanie Hat,£8.00,£6.00,£2.00,25%,https://stevegiergiel.vivamknetwork.co.uk/adults-led-beanie-hat.html,"Embrace the cosy charm of winter with our LED beanie hat - your perfect companion for chilly days and evening outings. Featuring an integrated LED lamp for hands-free illumination, the light is removable for safe washing. 3 light intensity level. Machine washable. Requires 2 x CR2032 batteries (included). 100% acrylic. One size fits most.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14680.jpg,output\winter_warmers\cache\images\14680.jpg,output\winter_warmers\cache\images\14680_qr.png,,active,
14650,Black Umbrella,£8.50,£6.38,£2.12,25%,https://stevegiergiel.vivamknetwork.co.uk/black-umbrella.html,"Keep rainy days at bay with our portable, compact umbrella - designed to fold away easily and slip right into your bag. Stay dry, stay stylish. Polyester. Open: L60 x W100cm (closed L30 x W7cm).",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14650.jpg,output\winter_warmers\cache\images\14650.jpg,output\winter_warmers\cache\images\14650_qr.png,,active,
13831,Car De-Icer 500ml,£4.00,£3.00,£1.00,25%,https://stevegiergiel.vivamknetwork.co.uk/car-de-icer-500ml.html,"This quick and efficient car de-icer is fast acting and effective to -15°C. Its highly concentrated formula melts ice from windscreens, mirrors & door locks. 500ml.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/3/13831.jpg,output\winter_warmers\cache\images\13831.jpg,output\winter_warmers\cache\images\13831_qr.png,,active,
14640,Children's Winter 3 Piece Set - Grey & Black,£12.50,£9.38,£3.12,25%,https://stevegiergiel.vivamknetwork.co.uk/boy-winter-set-3-piece.html,"Bundle up in style with our 3-Piece Children’s Winter Set. Includes a soft scarf, snug gloves, and a warm hat. Perfect for chilly days, these matching sets offer comfort and warmth. Designed to fit just right and keep the cold out, it's a must-have for winter adventures. 100% acrylic. Machine washable. Recommended for ages 7-13 years. Colour will vary on grey & black (variation black with beige stripe).",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14640.jpg,output\winter_warmers\cache\images\14640.jpg,output\winter_warmers\cache\images\14640_qr.png,,active,
14641,Children's Winter 3 Piece Set - Navy & Pink,£12.50,£9.38,£3.12,25%,https://stevegiergiel.vivamknetwork.co.uk/girls-winter-set-3-piece.html,"Bundle up in style with our 3-Piece Children’s Winter Set. Includes a soft scarf, snug gloves, and a warm hat. Perfect for chilly days, these matching sets offer comfort and warmth. Designed to fit just right and keep the cold out, it's a must-have for winter adventures. 100% acrylic. Machine washable. Recommended for ages 7-13 years.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14641.jpg,output\winter_warmers\cache\images\14641.jpg,output\winter_warmers\cache\images\14641_qr.png,,active,
14001,Childrens Handy Gripper Magic Gloves,£2.50,£1.88,£0.62,25%,https://stevegiergiel.vivamknetwork.co.uk/childrens-handy-gripper-magic-gloves.html,"These great-value children's gripper gloves are ideal for little ones. The ultra-stretchy magic gloves are lightweight and easy to wear, with rubber grip dots on the palms and fingers, making them perfect for outdoor activities. 85% acrylic, 10% nylon, 5% spandex. Machine washable. One size fits most (approx. 4-8 years).",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14001_2.jpg,output\winter_warmers\cache\images\14001.jpg,output\winter_warmers\cache\images\14001_qr.png,,active,
14000,Childrens Knitted Thermal Insulation Hat,£4.00,£3.00,£1.00,25%,https://stevegiergiel.vivamknetwork.co.uk/childrens-knitted-thermal-insulation-hat.html,"This knitted winter hat is fully lined with polar fleece and features R40 advanced thermal insulation, designed to trap body heat for added warmth and protection against the cold. It's an ideal accessory for outdoor activities. 80% acrylic, 20% polyester. Machine washable. Junior size. One size fits most (approx. 5-12 years).",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14000.jpg,output\winter_warmers\cache\images\14000.jpg,output\winter_warmers\cache\images\14000_qr.png,,active,
90947,Christmas Oversized Blanket Hoodie,£22.00,£16.50,£5.50,25%,https://stevegiergiel.vivamknetwork.co.uk/christmas-oversized-blanket-hoodie.html,"Wrap yourself in comfort this season with our printed blanket hoodie, available in a festive print. Designed for ultimate cosiness, these oversized hoodies combine the plush warmth of a blanket with the relaxed fit of your favourite sweatshirt. Perfect for chilly mornings, fireside evenings, or lazy weekends at home. Each hoodie features a large front pocket for added comfort and convenience. Plush fleece. 100% polyester. Machine washable. Unisex. One size fits most. Shoulder to hem: L87 x W76cm approx.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90947.jpg,output\winter_warmers\cache\images\90947.jpg,output\winter_warmers\cache\images\90947_qr.png,,active,
11845,Classic Tartan Duvet Set - Blue (Double),£28.00,£21.00,£7.00,25%,https://stevegiergiel.vivamknetwork.co.uk/blue-check-double.html,"This classic tartan check duvet cover, available in red or blue, is the perfect way to add some traditional design into your home. The rich colours are ideal for this season and the coordinating reverse print adds some extra detail. Button fastening. Single includes 1 pillowcase, double, king and super king size include 2 pillowcases. 100% brushed cotton. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/1/11845.jpg,output\winter_warmers\cache\images\11845.jpg,output\winter_warmers\cache\images\11845_qr.png,,active,
11846,Classic Tartan Duvet Set - Blue (King Size),£34.00,£25.50,£8.50,25%,https://stevegiergiel.vivamknetwork.co.uk/blue-check-king-size.html,"This classic tartan check duvet cover, available in red or blue, is the perfect way to add some traditional design into your home. The rich colours are ideal for this season and the coordinating reverse print adds some extra detail. Button fastening. Single includes 1 pillowcase, double, king and super king size include 2 pillowcases. 100% brushed cotton. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/1/11846.jpg,output\winter_warmers\cache\images\11846.jpg,output\winter_warmers\cache\images\11846_qr.png,,active,
